[2015-03-19 10:13:44] 127.0.0.1:56733 "GET / HTTP/1.1"
[2015-03-19 10:13:44] 127.0.0.1:56734 "GET /favicon.ico HTTP/1.1"
[2015-03-19 10:14:43] 127.0.0.1:56744 "GET / HTTP/1.1"
[2015-03-19 10:14:43] 127.0.0.1:56745 "GET /favicon.ico HTTP/1.1"
[2015-03-19 10:24:09] 127.0.0.1:56806 "GET / HTTP/1.1" 200
[2015-03-19 10:24:09] 127.0.0.1:56807 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:25:42] 192.168.1.21:38439 "GET / HTTP/1.1" 200
[2015-03-19 10:25:42] 192.168.1.21:38440 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:42] 192.168.1.21:38501 "GET / HTTP/1.1" 200
[2015-03-19 10:31:42] 192.168.1.21:38502 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:43] 192.168.1.21:38503 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:31:43] 192.168.1.21:38504 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:45] 192.168.1.21:38505 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:45] 192.168.1.21:38506 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:31:45] 192.168.1.21:38507 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:46] 192.168.1.21:38508 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:47] 192.168.1.21:38509 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:31:47] 192.168.1.21:38510 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:48] 192.168.1.21:38511 "GET / HTTP/1.1" 200
[2015-03-19 10:31:48] 192.168.1.21:38512 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:49] 192.168.1.21:38513 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:31:50] 192.168.1.21:38514 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:50] 192.168.1.21:38515 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:31:50] 192.168.1.21:38516 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:51] 192.168.1.21:38517 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:52] 192.168.1.21:38518 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:31:53] 192.168.1.21:38519 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:54] 192.168.1.21:38520 "GET / HTTP/1.1" 200
[2015-03-19 10:31:54] 192.168.1.21:38521 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:54] 192.168.1.21:38523 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:31:54] 192.168.1.21:38524 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:31:56] 192.168.1.21:38525 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:18] 192.168.1.21:38528 "GET / HTTP/1.1" 200
[2015-03-19 10:32:18] 192.168.1.21:38529 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:23] 192.168.1.12:62039 "GET / HTTP/1.1" 200
[2015-03-19 10:32:24] 192.168.1.12:62040 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:34] 192.168.1.12:62044 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:32:34] 192.168.1.12:62045 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:37] 192.168.1.12:62046 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:40] 192.168.1.12:62047 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:32:40] 192.168.1.12:62049 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:43] 192.168.1.12:62051 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:45] 192.168.1.12:62052 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:32:45] 192.168.1.12:62053 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:47] 192.168.1.12:62054 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:48] 192.168.1.12:62055 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:32:48] 192.168.1.12:62057 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:50] 192.168.1.12:62058 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:32:50] 192.168.1.12:62059 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:53] 192.168.1.12:62060 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:54] 192.168.1.12:62061 "GET /testfolder/godparticle.jpeg HTTP/1.1" -1
[2015-03-19 10:32:54] 192.168.1.12:62063 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:56] 192.168.1.15:53422 "GET / HTTP/1.1" 200
[2015-03-19 10:32:57] 192.168.1.15:53423 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:57] 192.168.1.12:62065 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:32:58] 192.168.1.12:62066 "GET / HTTP/1.1" 200
[2015-03-19 10:32:58] 192.168.1.12:62069 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:04] 192.168.1.12:62072 "GET /blaat HTTP/1.1" 404
[2015-03-19 10:33:04] 192.168.1.12:62073 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:23] 192.168.1.15:53426 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:33:23] 192.168.1.15:53427 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:32] 192.168.1.15:53430 "GET /jackert.html?action=die HTTP/1.1" 404
[2015-03-19 10:33:32] 192.168.1.15:53431 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:51] 192.168.1.17:62130 "GET / HTTP/1.1" 200
[2015-03-19 10:33:51] 192.168.1.17:62131 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:54] 192.168.1.17:62132 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:33:54] 192.168.1.17:62133 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:57] 192.168.1.17:62134 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:33:58] 192.168.1.17:62135 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:33:58] 192.168.1.17:62136 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:02] 192.168.1.17:62137 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:02] 192.168.1.17:62138 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:34:03] 192.168.1.17:62139 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:05] 192.168.1.17:62140 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:34:05] 192.168.1.17:62141 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:07] 192.168.1.17:62142 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:07] 192.168.1.17:62143 "GET /testfolder/godparticle.jpeg HTTP/1.1" -1
[2015-03-19 10:34:08] 192.168.1.17:62144 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:11] 192.168.1.17:62151 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:12] 192.168.1.17:62152 "GET / HTTP/1.1" 200
[2015-03-19 10:34:12] 192.168.1.17:62156 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:13] 192.168.1.17:62157 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:34:13] 192.168.1.17:62158 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:16] 192.168.1.17:62162 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:17] 192.168.1.17:62163 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:34:17] 192.168.1.17:62164 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:38] 192.168.1.21:38533 "GET / HTTP/1.1" 200
[2015-03-19 10:34:38] 192.168.1.21:38534 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:40] 192.168.1.12:62110 "GET / HTTP/1.1" 200
[2015-03-19 10:34:40] 192.168.1.12:62111 "GET / HTTP/1.1" 200
[2015-03-19 10:34:40] 192.168.1.12:62112 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:34:40] 192.168.1.12:62113 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:34:40] 192.168.1.12:62114 "GET /404.html HTTP/1.1" -1
